,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
11.10.2006,7.727,2.06,0,0,15.2174,0,0,2.5833,0.125,0,0,1.42,0.9612,32.9653,0.7876,51.0231,1.1895,0,18,0,0,8.9455,0,21.7643,5.1818,0.7912,19,1.7337,0,28.5949,0,43.5941,0,35.4927,952.8107,0,5.2664,195.6459,35.4227,277.2765,5.3669,18.9492,7.1918,1807.2844,11.3714
18.10.2006,7.9251,2.55,0,0,15.2174,0,0,2.5833,0.135,0,0,1.42,0.9981,33.4573,0.7876,50.0324,1.1609,0,19,0,0,8.9455,0,21.7643,0,0.8005,19.75,1.8259,0,28.8597,0,42.0645,0,38.3705,970.4553,0,5.4545,205.2364,35.4227,277.2765,5.3669,18.2296,7.2917,1823.9031,11.5782
25.10.2006,7.9251,3,0,0,16.087,0,0,2.6667,0.135,0,0,1.44,1.0536,34.4413,0.7876,52.5092,1.2898,0,20.25,0,33.0572,9.0438,0,23.9192,5.9015,0.9029,20,2.0472,0,31.5332,0,48.183,0,40.289,1001.3334,0,5.6425,214.8269,38.9649,287.3332,5.7503,19.1891,8.0908,1898.6873,12.4052
08.11.2006,8.1232,2.9,0,0,18.0435,0,0,2.6667,0.13,0,0,1.5,0.9981,35.9174,0.7876,53.0046,1.1322,0,22,0,35.9633,9.3387,0,23.4882,0,0.8843,19.5,1.9919,0,33.4038,0,48.183,0,38.3705,1071.912,0,5.2664,222.4993,39.4077,281.5865,6.0698,19.1891,7.9909,2010.8635,12.4052
15.11.2006,7.826,2.95,0,0,19.5652,0,0,2.6667,0.14,0,0,1.66,1.0351,40.8376,0.9845,53.5,1.2469,0,22,0,37.4164,9.0438,0,23.9192,0,0.9681,19.25,1.9366,0,33.9383,0,48.183,0,40.289,1093.9678,0,5.3604,239.7622,39.8505,290.2065,6.2614,17.51,8.0908,1998.3995,12.6119
22.11.2006,7.826,3.15,0,0,26.9565,0,0,2.8333,0.15,0,0,1.86,1.1645,45.7578,0.886,55.9768,1.2039,0,20.5,0,37.0531,9.7319,0,24.5657,0,0.9309,20,2.0288,0,33.9383,0,48.9478,0,40.289,1120.4348,0,5.7366,232.0898,39.8505,285.8965,6.3892,18.7093,8.4904,2123.0398,12.4052
29.11.2006,7.727,2.95,0,0,20.4348,0,0,2.5833,0.155,0,0,1.7,1.0351,41.8216,0.9352,51.5185,1.1465,0,19.25,0,35.9633,10.076,0,24.1347,0,0.9495,19.25,1.9735,0,33.671,0,47.0358,0,37.8908,1093.9678,0,5.6425,230.1717,39.4077,277.2765,6.1336,18.7093,8.8899,1994.2448,12.0833
06.12.2006,7.9251,3.05,0,0,23.0435,0,0,2.5833,0.145,0,0,1.7,1.0351,41.3296,0.9352,51.0231,1.2469,0,19.5,0,34.5103,9.3387,0,22.4108,6.1894,1.1543,19.75,2.0472,2.374,35.8089,0,47.4182,0,38.8501,1116.0236,0,5.7366,226.3355,38.9649,283.0232,6.3253,19.1891,9.2895,2073.1837,12.5
13.12.2006,8.5195,3.15,0,0,23.0435,0,0,2.5833,0.15,0,0,2.22,1.0536,41.3296,0.9352,58.949,1.3472,0,21,0,36.6898,9.7319,0,23.7037,4.3182,1.1543,19,2.2134,3.3755,34.74,0,48.183,0.9922,39.3297,1098.379,0,5.9247,232.0898,39.4077,281.5865,6.3253,18.4695,9.0897,2019.1729,12.0833
20.12.2006,9.411,3.1,0,0,21.7391,0,0,2.5833,0.155,0,0,2.2,1.0536,42.3136,1.0829,60.9305,1.4045,0,21,0,36.3266,9.3387,0,23.0572,4.7212,1.117,19.25,2.2525,3.3755,35.0072,0,48.1942,3.324,38.8501,1080.7343,0,6.3949,234.0079,40.736,284.4598,6.3892,18.2296,9.9887,1944.3887,12.7083
