<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
Индекс ММВБ,W,20120611,000000,1338.07,1379.74,1333.37,1375.23,0,0
Индекс ММВБ,W,20120618,000000,1375.21,1397.34,1342.23,1347.15,0,0
Индекс ММВБ,W,20120625,000000,1347.16,1390.08,1325.74,1387.52,0,0
Индекс ММВБ,W,20120702,000000,1387.52,1458.46,1383.67,1414.28,0,0
Индекс ММВБ,W,20120709,000000,1414.29,1433.56,1379.11,1416.5,0,0
Индекс ММВБ,W,20120716,000000,1416.48,1444.85,1412.98,1415.38,0,0
Индекс ММВБ,W,20120723,000000,1415.38,1416.4,1353.58,1406.3,0,0
Индекс ММВБ,W,20120730,000000,1406.3,1432.43,1386.94,1421.28,0,0
Индекс ММВБ,W,20120806,000000,1421.22,1462.68,1417.27,1441.59,0,0
Индекс ММВБ,W,20120813,000000,1441.88,1467.19,1433.66,1444.27,0,0
Индекс ММВБ,W,20120820,000000,1444.26,1470.75,1419.95,1454.08,0,0
Индекс ММВБ,W,20120827,000000,1454.08,1460.02,1417.79,1422.91,0,0
Индекс ММВБ,W,20120903,000000,1422.9,1484.68,1420.32,1474.58,0,0
Индекс ММВБ,W,20120910,000000,1474.58,1541.7,1464.9,1535.38,0,0
Индекс ММВБ,W,20120917,000000,1535.38,1539.58,1480.82,1496.65,0,0
Индекс ММВБ,W,20120924,000000,1496.63,1499.26,1438.44,1458.26,0,0
Индекс ММВБ,W,20121001,000000,1458.3,1491.3,1451.95,1477.6,0,0
Индекс ММВБ,W,20121008,000000,1477.6,1480.97,1440.65,1446.01,0,0
Индекс ММВБ,W,20121015,000000,1446.01,1486.88,1439.79,1460.06,0,0
Индекс ММВБ,W,20121022,000000,1460.04,1476.09,1424.5,1433.52,0,0
Индекс ММВБ,W,20121029,000000,1433.51,1444.38,1407.46,1440.25,0,0
Индекс ММВБ,W,20121105,000000,1440.25,1453.47,1392.8,1401.32,0,0
