,2615 TT Equity,1802 TT Equity,2204 TT Equity,2606 TT Equity,3189 TT Equity,2609 TT Equity,2451 TT Equity,3682 TT Equity,5264 TT Equity,1434 TT Equity,3673 TT Equity,2603 TT Equity,2227 TT Equity,9933 TT Equity,1227 TT Equity,2915 TT Equity,2379 TT Equity,9945 TT Equity,2448 TT Equity,2542 TT Equity,5347 TT Equity,2498 TT Equity,2610 TT Equity,6121 TT Equity,8299 TT Equity,1722 TT Equity,2049 TT Equity,2356 TT Equity,2834 TT Equity,2353 TT Equity,2618 TT Equity,4958 TT Equity,9914 TT Equity,6239 TT Equity,3231 TT Equity,2385 TT Equity,6176 TT Equity,3702 TT Equity,3474 TT Equity,2347 TT Equity,1504 TT Equity,3658 TT Equity,5871 TT Equity,9910 TT Equity,2888 TT Equity,3034 TT Equity,2301 TT Equity,2395 TT Equity,9921 TT Equity,2801 TT Equity,1102 TT Equity,2324 TT Equity,2823 TT Equity,6505 TT Equity,2354 TT Equity,2105 TT Equity,2409 TT Equity,2207 TT Equity,1476 TT Equity,1402 TT Equity,2887 TT Equity,3481 TT Equity,2880 TT Equity,5880 TT Equity,2890 TT Equity,9904 TT Equity,4904 TT Equity,1101 TT Equity,2885 TT Equity,2325 TT Equity,2912 TT Equity,2883 TT Equity,2303 TT Equity,2892 TT Equity,2884 TT Equity,4938 TT Equity,2382 TT Equity,3045 TT Equity,2311 TT Equity,2357 TT Equity,2474 TT Equity,1326 TT Equity,2002 TT Equity,2886 TT Equity,1216 TT Equity,1303 TT Equity,2891 TT Equity,1301 TT Equity,2308 TT Equity,3008 TT Equity,2881 TT Equity,2454 TT Equity,2882 TT Equity,2412 TT Equity,2317 TT Equity,2330 TT Equity
28.03.2012,15.99,31.82,30.45,51.1,97,16.45,83.97,14,0,28.95,377.35,19.85,219,48.8,60.53,57.14,53.59,41.86,76.57,32.68,13.05,630,12.45,200,253.5,78.5,283.26,12.9,7.79,40.49,18,87.53,78.84,53.72,39.38,56.16,124.89,41,8.38,72.6,20.45,293,33.69,24.79,8.69,90.7,36.07,91.41,136.5,13.64,33.83,32.61,20.55,92.8,104.77,54.31,14.2,236.5,57.39,31.11,9.09,14.19,14.14,14.41,8.21,26.35,57.64,34.6,15.35,35.06,161.9,9.29,14.65,13.67,11.89,46.75,71.8,90.32,25.92,280.5,212.5,81.75,28.69,20.58,33.71,65.94,14.63,82.31,88.74,608,32.1,279.69,28.61,88.63,79.41,85.5
11.04.2012,14.69,30.91,27.1,49.45,93,15.2,80.79,13.35,0,27.05,345.33,19.31,207,50.8,51.82,53.49,53.5,41.49,70.32,30.79,13.2,520,11.4,202.73,241,72.2,245.35,11.74,7.35,37.63,16.5,86.17,80.17,52.05,37.96,53.89,117.35,38.45,7.81,72.5,20,285,32.7,24.62,7.99,90,33.57,90.05,136,12.92,33.78,32.03,18.44,88.7,92.8,51.87,14.4,200,57.22,30.1,8.48,13.5,13.47,13.34,7.58,24.5,60.54,34.85,13.64,34.37,160.4,8.31,13.92,12.84,10.81,43.05,74.6,88.42,25.44,271,204,82.04,27.59,20.62,32.59,60.1,13.53,81.73,83.45,540,30.48,270.41,26.33,87.66,79.76,82.4
18.04.2012,14.4,30.05,26.3,49.15,88.1,12.8,78.6,13.6,0,27.4,321.4,16.73,196.5,52.2,52.87,54.28,54.16,40.92,71.88,30.97,13.6,480,11.2,203.64,218,72.2,251.01,11.45,7.3,35.75,16.36,101.13,83.23,51.03,36.28,54.18,117.82,40.2,7.92,71.2,20.85,293,32.62,24.66,7.73,87.5,33.62,89.77,145,13,33.45,31.03,18.26,86.3,85.96,53.24,14,188,57.82,30.15,8.41,13.16,13.35,13.14,7.5,24,62.87,35.8,13.59,34.61,157.42,7.91,13.73,12.95,11.24,43.8,75.6,89.92,25.75,281,200,81.26,27.49,20.96,33.43,59.7,13.53,81.15,86.74,560,29.91,270.9,26.2,86.79,75.9,85
25.04.2012,14.69,28.56,25.15,49.8,88.6,12.9,78.2,14,0,27.45,297.1,17.43,182,55.8,53.11,53.89,55.01,40.31,70.91,30.61,13.35,470.5,11.35,206.36,209.5,70.6,238.81,12.13,7.32,33.48,17.27,99.32,82.48,47.87,37.61,54.36,119.71,39.75,7.5,68.5,20.8,286.5,32.18,24.36,7.59,85.2,35.09,92.32,142,12.88,34.01,32.32,18.48,87.7,88.52,53.85,13.85,185,59.02,30.19,8.56,12.77,13.64,13.49,7.66,24.85,62.67,34.5,13.21,34.42,158.41,7.53,14.46,13.29,11.46,45.4,75.7,91.92,25.35,287,196,81.55,27.59,21.4,33.67,59.5,13.49,80.19,91.73,537,29.67,256.75,26.33,87.76,74.49,84.2
02.05.2012,14.88,29.47,25.8,49.6,96.5,12.55,81.38,14.1,0,28,297.1,17.57,195,58.3,53.98,51.81,62.48,40.64,72.57,30.97,14.9,472.5,11.95,206.36,222.5,71.4,257.98,11.45,7.46,34.57,17.42,92.97,92.75,47.96,38.78,54.65,123.95,40.95,7.81,70.3,21.35,284.5,34.81,24.84,7.99,90.7,35.93,95.05,148,13.24,33.31,34.09,19.14,91.7,91.52,56.14,13.56,187,61.16,30.74,8.78,12.53,13.76,14.03,7.86,26,62.58,35.55,13.4,35.46,156.92,7.56,15.09,13.56,11.5,43.45,81.2,93.92,26.54,315.5,200,82.43,27.97,22.12,36.87,60.1,14.25,79.81,92.52,496,29.81,260.65,26.8,88.05,62.97,88.4
09.05.2012,14.01,27.61,25.9,48.2,93.5,13.45,80.69,13.7,0,27.25,286.29,18.12,204,56.1,53.69,50.73,59.36,40.45,70.81,30.36,15.2,452.5,12.45,199.55,224,70.9,261.47,10,7.27,32.89,17.76,85.71,91.1,52.51,36.88,53.7,123.48,39.5,8.39,70.6,20.9,319,35.76,24.58,7.5,91.1,34.9,89.77,140.5,12.84,32.47,31.84,18.16,87,88.52,55.15,12.96,184,62.1,29,8.56,11.89,13.47,13.45,7.6,25.5,62.48,35,12.69,33.03,158.91,7.54,14.02,12.99,10.92,41.55,80.8,92.82,25.53,313.5,196.5,78.83,27.26,21.11,37.35,58.61,13.87,76.35,93.22,481,28.48,258.7,25.7,87.46,61.35,84.6
16.05.2012,12.85,27.18,24.3,47,89.4,11.85,80.39,13.5,0,26.7,285.52,15.84,197,58.9,52.87,47.62,58.41,39.94,67.78,29.14,15.1,411,11.9,192.73,213,68.6,247.09,9.39,6.85,30.32,17.13,88.44,89.86,50.38,35.2,52.75,116.41,37.2,7.92,69,20.25,290,34.85,24.23,6.94,84.6,34.46,89.77,145,12.36,30.93,29.88,17.56,85,81.34,54.77,12.27,174,59.02,29.28,8.29,11.65,13.14,13.18,7.2,24.6,66.35,32.3,11.88,31.54,155.42,7.19,13.39,12.76,10.27,41.2,80.6,97.72,24.96,294,180,77.38,26.78,20.29,36.23,55.94,13.08,74.04,90.33,504,27.72,255.77,24.39,87.56,58.19,83.4
23.05.2012,13.14,26.36,23.45,46.1,88.3,11.8,81.28,13,0,26.7,314.46,15.05,194.5,56.1,52.64,46.68,53.02,40.45,63.68,28.38,14,422.5,11.3,186.82,208.5,67.2,250.14,9.42,6.69,29.28,16.21,79.82,87.37,53.44,34.34,53.13,124.89,35.4,7.1,67.7,20.3,357,36.16,24.14,7.13,89.2,33.82,91.87,144,12.24,30.98,29.88,18.09,82.5,85.96,54.39,11.73,180.5,59.53,28.54,8.33,11.85,13.06,13.18,7.36,25.05,65.68,32.9,11.93,30.55,154.92,7.05,12.37,12.57,10.45,41.95,77.8,95.92,24.3,283.5,178.5,76.02,26.78,19.8,36.67,55.94,12.74,75.96,87.74,556,27.43,246.98,24.09,88.53,61.14,79.1
30.05.2012,13.24,26.79,26.2,45.15,87.5,12.2,82.28,13.04,0,26.7,341.08,14.75,221.5,57.7,52.76,47.82,53.5,40.31,65.05,28.65,14.5,424,11.5,188.18,216,69.4,258.85,9.41,6.84,31.11,16.31,87.35,89.44,55.12,33.99,52.94,128.19,35.6,7.57,67.4,20.2,361,36.24,24.18,7.44,89.8,36.86,91.41,138.5,12.32,33.27,30.16,18.65,83.4,90.66,55.38,12.42,189.5,59.53,27.95,8.6,12.63,13.1,13.3,7.98,25.15,63.25,34.65,12.74,31.89,153.93,7.13,12.95,12.8,10.81,42.2,79.4,93.22,24.43,302,188,75.53,26.83,20.19,36.83,52.57,12.62,75.29,83.35,565,27.48,260.65,24.64,87.27,62.48,81.7
06.06.2012,13.72,26.41,26,44.9,83.3,11.8,81.38,12.75,0,26.8,340.7,14.16,220,57,51.59,44.02,50.85,39.37,57.04,27.98,15.4,406,12.3,190,217.5,66.7,253.62,9.51,6.7,30.61,16.84,79.91,87.37,51.12,31.32,52.09,127.72,34.15,7.22,66.5,19.1,316,34.97,24.18,7.11,87.1,35.29,90.23,131.5,12,33.22,27.53,18.12,82.9,86.81,54.61,11.53,192,58.08,27.03,8.18,11.21,13.1,13.18,8.25,24.6,63.93,34.15,12.36,29.85,151.94,7.15,11.5,12.76,10.06,43,76.8,94.42,23.03,298.5,190,73.4,26.97,19.46,36.99,52.08,12.17,73.94,80.16,567,26.91,251.38,24.09,87.95,58.19,77.8
