Date 1,GOLL4.BS.Equity,GOAU4.BS.Equity,GFSA3.BS.Equity,OIBR4.BS.Equity,RUMO3.BS.Equity,ELET3.BS.Equity,POMO4.BS.Equity,ECOR3.BS.Equity,USIM5.BS.Equity,DTEX3.BS.Equity,ELET6.BS.Equity,MRVE3.BS.Equity,HGTX3.BS.Equity,BRAP4.BS.Equity,CSNA3.BS.Equity,CYRE3.BS.Equity,MRFG3.BS.Equity,CSAN3.BS.Equity,ENBR3.BS.Equity,SMLE3.BS.Equity,CESP6.BS.Equity,CPLE6.BS.Equity,BRPR3.BS.Equity,MULT3.BS.Equity,BRKM5.BS.Equity,ESTC3.BS.Equity,RENT3.BS.Equity,NATU3.BS.Equity,QUAL3.BS.Equity,GGBR4.BS.Equity,CPFE3.BS.Equity,SBSP3.BS.Equity,BRML3.BS.Equity,SANB11.BS.Equity,HYPE3.BS.Equity,CMIG4.BS.Equity,LAME4.BS.Equity,TBLE3.BS.Equity,TIMP3.BS.Equity,KLBN11.BS.Equity,SUZB5.BS.Equity,CTIP3.BS.Equity,PCAR4.BS.Equity,CRUZ3.BS.Equity,FIBR3.BS.Equity,BBDC3.BS.Equity,KROT3.BS.Equity,LREN3.BS.Equity,CCRO3.BS.Equity,VIVT4.BS.Equity,BBAS3.BS.Equity,EMBR3.BS.Equity,BVMF3.BS.Equity,VALE3.BS.Equity,BBSE3.BS.Equity,UGPA3.BS.Equity,JBSS3.BS.Equity,VALE5.BS.Equity,PETR3.BS.Equity,ITSA4.BS.Equity,CIEL3.BS.Equity,PETR4.BS.Equity,BRFS3.BS.Equity,BBDC4.BS.Equity,ABEV3.BS.Equity,ITUB4.BS.Equity
2013-07-19,7.71,17.23,3.04,39.7,0,4.62,6.315,15.2,7.54,12.273,8.94,6.99,29.76,21.65,6,16.8,7.2,39.052,11.202,20.979,19.343,28.45,13.884,52.25,17,16.75,30.917,43.97,15.63,13.68,20.524,23.7,20.2,11.618,16.36,13.738,12.352,36,8.45,0,7.76,22.847,100.7,27.39,25.64,25.875,7.625,60,17.29,48.13,22.3,21.52,12.3,30.9,17.95,53.5,6.75,27.93,15.48,6.648,23.125,15.88,48.3,23.142,16.017,23.413
2013-07-26,8.24,18.3,3.07,48.3,0,4.96,6.65,16.01,9,12.318,9.08,6.97,30.62,23.21,6.95,16.8,7.45,38.694,11.53,22.741,19.667,28.55,13.891,53.1,17.08,16.98,31.236,46.2,16.5,14.5,20.815,23.59,21.14,12.142,16.69,14.348,12.72,35.85,8.59,0,7.97,23.777,102.5,28.22,24.91,25.892,7.948,62,17.85,49.75,22.49,19.8,12.75,32.26,18.21,54.32,6.76,29.25,16.2,6.876,23.183,16.95,48.09,23.575,16.374,23.967
2013-08-02,7.7,18.87,2.72,42.2,0,4.52,6.635,16.06,8.65,11.818,8.22,6.59,30.75,22.55,6.45,16.36,6.91,38.739,11.192,21.918,18.715,28.05,13.459,51.49,16.97,17.83,30.801,42.89,15.99,15.08,20.447,21.84,20.42,12.089,16.58,13.665,12.68,36.24,8.88,0,8,23.907,100,26.01,25.64,25.783,8.06,60.64,17.84,48.68,22.81,19.34,12.15,31.25,18.99,55,6.8,28.39,16,7.039,23.458,16.81,50.2,23.5,17.476,24.711
2013-08-09,7.45,19.45,2.91,44.7,0,4.82,6.79,15.9,9.45,11.682,8.7,7.55,32.04,25.09,7.06,16.89,6.47,37.737,11.639,21.325,20.477,30.5,13.48,50.52,17.64,17.98,31.913,42.5,16.25,15.5,20.834,21.6,19.2,12.311,17.42,13.572,12.8,36.45,9.21,0,7.94,23.897,100,25.84,24.45,25.667,8.138,64.47,17.67,48.94,22.6,19.09,11.69,34.75,19.94,54.54,7.36,30.9,16.08,6.876,23.438,17.08,50.5,23.592,16.964,24.281
2013-08-16,8.59,20.15,3.24,40.2,0,5.05,6.52,15.26,10.32,11.227,9.25,7.85,33.25,26.09,8.35,16.06,5.86,36.073,11.182,22.395,20.124,30.6,13.317,49.5,18.21,17.14,30.414,45.5,18.05,16.26,20.35,21.89,19.09,12.311,17.01,12.929,12.624,35.53,9.12,0,8.81,22.817,97.5,26.51,27,26.3,7.638,60.9,16.94,48.89,23.15,19.22,11.7,36.6,19.31,52.68,7.44,32.17,17.19,6.835,23.538,17.78,55.96,23.75,17.5,24.132
2013-08-23,8.92,21.18,3.1,39.3,0,5.05,6.55,15.15,10.2,10.882,9.21,8.55,31.9,25.87,8.81,16.05,6,37.835,11.033,23.416,19.801,29.5,12.793,47.64,17.8,17.6,30.791,44.35,17.81,17.31,19.022,20.53,18.44,12.356,16.68,12.889,12.104,34.11,9.3,0,8.87,23.817,95.58,26.62,28.1,26.333,7.5,60.62,17.19,47.41,22.24,19.81,11.97,36.12,19.31,53.84,7.35,32.28,17.5,6.9,24.292,18.55,54.02,23.375,16.554,24.306
2013-08-30,8.46,21.17,2.8,35.4,0,4.95,6.64,15.3,10.31,10.982,9.17,8.33,31.91,24.67,8.42,15.72,6.12,37.2,10.635,22.642,20.239,28.55,12.857,47.94,17.55,17.56,30.124,44.77,18.65,17.15,18.896,19.59,18.1,12.125,16.24,12.332,12.096,34.2,9.38,0,9.4,23.397,97.72,25,27.58,26.333,8,57.39,17.35,46.48,23.05,19.58,11.69,34.42,19.24,51.9,7.36,31.1,15.97,6.803,24.338,16.8,55.2,23.092,16.638,23.967
2013-09-06,10.75,20.99,3.24,39.5,0,5.61,6.65,15.43,10.21,11.727,9.95,9.36,33.79,25.2,9.19,16.48,6.8,37.218,11.431,23.334,21.715,30.49,12.942,49.1,18.33,17.45,31.14,47.15,19.55,16.85,19.119,22.26,18.89,12.373,17,12.511,12.472,36.44,10.1,0,9.25,23.687,98.62,25.2,27.19,27.2,8.125,62.65,17.86,48.9,23.75,19.68,12.55,35.88,19.9,54.2,7.5,32.2,16.85,6.957,23.775,17.76,56.49,23.875,16.332,24.785
2013-09-13,11.36,21.79,3.45,40.8,0,6.06,6.71,15.48,10.6,11.927,10.13,9.53,33.42,25.8,9.4,16.9,6.47,38.569,11.232,22.502,22.172,30.5,13.353,50.3,18.58,17.48,31.671,48.5,19.99,17,18.974,20.95,20.11,12.791,17.44,12.365,13.36,36.38,10,0,9.38,23.847,99.63,27.12,28.51,28.7,8.03,66.48,18.4,50.7,24,18.65,12.7,36.5,20.94,56.06,7.61,33.11,17.17,7.12,23.854,18.13,57.35,24.833,16.902,25.851
2013-09-20,10.51,20.7,3.61,49.3,0,6.14,6.88,15.5,10.4,11.682,10.3,8.75,34,25.45,9.29,17.04,6.3,37.415,11.301,23.054,22.429,29.53,14.033,52.15,17.57,17.25,31.913,50.65,20.27,16.5,18.606,22.01,21.1,12.658,18.4,12.332,13.544,36.45,9.78,0,9.05,23.517,103.65,27.05,26.53,29.275,7.7,66.9,18.27,49.7,25.5,18.16,12.7,35.67,21.5,56.05,7.4,32.37,17.7,7.242,23.767,18.94,56.5,25.5,17.378,25.942
2013-09-27,10.63,21.54,3.74,45.8,0,6.25,6.5,15.68,10.62,12.045,10.2,9.2,34.3,25.2,9.66,16.82,5.95,38.452,11.878,22.807,22.21,31.5,14.132,52.84,17.84,17.43,32.59,50.16,20.22,17.05,18.848,22.33,20.5,13.778,17.9,12.796,13.208,37,10.36,0,8.98,23.447,105,26.56,26.71,29.925,8,64.5,17.7,50.33,26.43,18.6,12.55,35.16,22.16,55.59,7.7,32.14,17.34,7.519,25.333,18.5,55.45,26.417,17.438,26.628
2013-10-04,11.15,21.5,3.7,36.4,0,6.63,6.51,15.5,11.19,11.818,10.85,9.31,32.1,24.65,9.78,16.4,5.86,38.783,12.047,21.983,21.001,31.07,13.778,54.3,18,16.7,31.681,47.51,20.75,16.9,18.654,22.18,19.97,13.467,18.1,13.148,13.144,36.5,10.99,0,8.72,23.417,103.86,25.21,26.67,29.408,7.75,62.9,17.87,48.2,26.22,18.58,12.65,34.4,21.6,57.6,7.67,31.9,17.39,7.323,26.142,18.67,54.71,25.525,17.058,26.281
2013-10-11,10.5,22.51,3.54,40.9,0,6.73,6.63,15.68,11.63,12.409,10.96,9.86,32.25,23.8,10.61,17.16,5.46,38.712,12.405,23.342,21.048,30.3,13.317,54,18.49,17.48,33.799,48.86,20.95,17.65,19.265,21.88,20.65,13.662,19.4,13.055,13.912,37.3,11.85,0,8.85,23.387,109.21,25.47,27.1,29.975,8.148,67.5,18.13,49.15,26.68,19.05,12.57,33.77,23.33,58.34,8.05,31.02,17,7.397,26.979,18.1,55.85,26.292,16.916,26.521
