,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
13.02.2006,5.9438,1.22,0,0,11.7391,0,0,2.4167,0.135,0,0,0.99,0.9242,30.0132,0.6891,43.5926,0.8599,0,11,0,23.6123,6.193,0,19.8249,0,0.5678,11.5,1.2542,0,20.4561,0,37.2845,0,33.5742,661.6741,0,4.6551,171.0943,31.4376,190.4206,5.1753,17.2702,4.4949,1449.9822,8.8904
20.02.2006,6.0429,1.32,0,0,11.3043,0,0,2.3333,0.135,0,0,0.97,0.915,30.9972,0.6399,41.1157,0.8714,0,11,0,23.9755,6.193,0,19.3939,6.6212,0.5678,11.5,1.3095,0,20.4561,0,37.2845,0,32.6149,723.4303,0,4.5611,166.4908,30.9948,187.5785,5.1114,16.7904,4.8445,1449.9822,8.8904
27.02.2006,6.5382,1.28,0,0,11.3043,0,0,2.1667,0.13,0,0,0.94,0.8872,30.0132,0.6399,39.6296,0.8599,0,11.25,0,24.7021,6.193,0,19.1784,6.6212,0.5585,11.25,1.2357,0,19.9316,0,37.2845,0,33.5742,745.4861,0,4.5611,169.5598,29.6665,181.8943,4.9836,17.2702,4.7446,1479.0649,9.0971
06.03.2006,6.7363,1.26,0,0,11.5217,0,0,2.25,0.13,0,0,0.97,0.8872,30.9972,0.6399,43.0972,0.8599,0,11.25,0,26.1551,6.3896,0,19.3939,0,0.5585,12.25,1.3279,0,19.6693,0,37.9218,0,34.0538,763.1308,0,4.7021,171.8615,31.8804,197.5258,5.1114,17.2702,5.1941,1524.7664,9.0971
13.03.2006,6.7363,1.18,0,0,11.3043,0,0,2.0833,0.13,0,0,0.92,0.878,30.0132,0.6399,39.6296,0.8599,0,11.25,0,28.3347,6.2913,0,18.532,0,0.5585,12.25,1.3279,0,19.9316,0,37.6031,0,34.5334,719.0192,0,4.7962,166.4908,30.9948,193.2627,4.8558,16.5506,5.0942,1524.7664,9.0971
20.03.2006,6.7363,1.26,0,0,11.3043,0,0,1.75,0.14,0,0,0.99,0.9612,31.4892,0.6399,41.6111,0.8886,0,12.25,0,27.6082,6.2913,0,18.101,6.6212,0.5492,12,1.3648,0,19.9316,0,40.4712,0,35.4927,789.5977,0,4.7021,171.8615,31.4376,196.1048,5.0475,16.5506,5.0942,1520.6117,8.8904
27.03.2006,6.5382,1.48,0,0,11.9565,0,0,1.8333,0.15,0,0,1,1.0906,34.9333,0.6399,44.0879,0.9316,0,11.75,0,27.9715,6.3896,0,18.3165,0,0.5585,11,1.4017,0,21.5051,0,39.8338,0,35.9723,780.7754,0,4.7962,176.4649,31.4376,206.0521,5.0475,17.0303,5.9932,1562.1585,9.0971
03.04.2006,6.6373,1.46,0,0,11.5217,0,0,2.0833,0.135,0,0,1.02,1.0351,33.4573,0.6399,46.5648,0.9316,0,11.75,0,28.3347,6.3896,0,18.963,0,0.6423,11.25,1.3833,0,22.5542,0,39.5151,0,33.5742,771.9531,0,4.7962,174.9305,30.9948,201.789,4.8558,17.0303,5.8933,1599.5505,9.5106
10.04.2006,6.7363,1.58,0,0,11.7391,0,0,2,0.135,0,0,0.99,1.0536,33.4573,0.6891,46.0694,0.9602,0,12.5,0,27.9715,6.2913,0,19.1784,0,0.6609,12.25,0,0,24.1277,0,39.5151,0,34.0538,767.5419,0,5.2664,174.1632,30.9948,197.5258,4.9197,17.9897,5.7934,1641.0973,9.0971
17.04.2006,8.1232,1.48,0,0,12.8261,0,0,2,0.15,0,0,0.99,1.2569,33.4573,0.7876,45.574,0.9746,0,12.5,0,27.9715,6.3896,0,19.3939,6.6212,0.6795,11.75,1.3279,0,24.6522,0,38.8778,0,34.0538,785.1866,0,5.1723,168.0253,30.552,198.9469,4.9836,18.4695,5.9932,1645.252,9.3039
