"";"Koef";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity"
"2009-01-30";7,11878324194298;0,115791679912898;-0,0693747159540165;-0,0604470898266765;-0,165198163310899;-0,223066833685168;0,0519820195984783;0,116248812754908;0,177088632850828;-0,160503743746089;-0,00728789775417526;0,0551647840881696;0,20754317989276;-0,114504275937487;0,136793432391687;0,0117798621861404;-0,0962627202657216;-0,103354559519767;0,104596375489864;0,0185144783413913;0,00449674249287519
"2009-02-27";7,17867869470351;0,115817705588197;0,127149241568927;0,00659191212597493;-0,191124103066596;-0,204260437126692;-0,0846006525933277;-0,0785001844707261;0,0699054426746875;-0,00995037794364835;0,0273342000094889;0,165007687085784;0,137445125053204;-0,15857467149264;0,20006103728882;0,0336465625942481;-0,161643896638609;-0,0818158658451961;0,0875293755898616;0,0295117104208065;-0,029529810822565
"2009-03-31";13,2133876726858;0,0105344032263171;0,201429952749404;0,011815997969423;0,0660266173953809;0,196508221948292;-0,0692970912962007;-0,0429589736119854;0,0433805998467798;0,121757309850565;-0,018426654824002;0,0377339389635731;0,0856365072634115;-0,317808829179536;0,21728483863816;-0,0165489838174354;-0,266059982924995;-0,176331602076606;0,0014314682314125;0,00646014391728168;-0,0925678822692398
"2009-04-30";6,75051616348006;-0,161962868966931;-0,0133851964088608;0,104435608317565;-0,0803784973517035;0,341228342103286;0,314920737557828;-0,0591467302406151;-0,0581789937738778;0,0232595205288404;-0,0732147475938083;-0,0669295190835634;0,00130545424762412;-0,0939560085090494;0,158633331726316;-0,0581615640313962;-0,000820844466553516;0,0562170055185393;-0,150282430179108;-0,0434565766686811;-0,140126022725852
"2009-05-29";4,94079328502128;-0,126010338151115;-0,0285203633014757;-0,0463792951514537;-0,131865919790917;0,180734896317721;0,0515946236027553;0,0675419184175241;-0,0495746650669547;0,164438208828799;-0,104984278873669;-0,129988406339114;0,0732525127197885;0,102826797538433;0,00522538843957461;-0,14734175519397;0,305451445673862;0,0489342084615415;-0,106699849899507;-0,0501273001280842;-0,0785078281037399
"2009-06-30";8,75229630118173;-0,0697477296475107;0,128259653505311;0,0527113795405974;-0,203379545767351;-0,178792284671105;0,202758736573595;0,0953390782719283;0,0747435444763297;-0,0364217270186913;-0,0916133778857492;0,0364614102279815;0,106074059967996;-0,0428357390168675;0,0734500947855918;-0,143607801352809;0,216041592818546;0,0141604498321232;-0,108200153057823;-0,0804975625730243;-0,0449040790090679
"2009-07-31";12,5342338868424;0,0147601889735533;-0,0489740615818207;-0,0272221552652609;-0,17110439343226;-0,193271123181188;-0,110392883455528;0,0096246627565237;0,238313211165342;0,156577181964737;-0,0792042465892393;0,234695497518635;0,0434274668765477;0,0980599874964561;-0,00108053868012172;-0,104515619229359;0,204541803248205;-0,0386819523733574;-0,0855151981059761;-0,075652617490901;-0,0643852106149876
"2009-08-31";18,4813295482576;0,0551578418200629;-0,178162778009906;0,0768683155572023;-0,0979519955822923;-0,0597372357218773;-0,0599686871432128;-0,137922998589338;0,206367747789496;0,0107187321902052;0,00582224898247401;0,248425074565519;-0,137663107103181;-0,0536105414138783;0,353131662408845;-0,00456651408525918;0,0435083766861957;-0,0482194046961684;-0,0580418482594262;-0,0611480043082686;-0,103006885087192
"2009-09-30";9,13159940792338;-0,0272389221420819;-0,158589805727892;0,00562880667304496;0,000990212246967679;0,642957087501959;-0,0134139344552094;-0,205384527968105;-0,0574387916470617;-0,0922437125946246;-0,0404275553192164;0,0377754858205263;-0,157824982655062;0,119809049249485;0,0863405970254399;-0,0642213632557416;0,104861351680121;-0,00936013969172243;-0,0731605249805343;0,00163740980245694;-0,100695739562749
"2009-10-30";10,7723388157436;0,079551404362763;-0,0644538603801122;0,0407245035525769;0,0237109784051638;0,487400659718434;0,082617418164424;-0,157108285899689;-0,149771332128598;-0,0430121959042493;-0,0449975204905218;-0,12169668154226;-0,130237772186366;0,0693082269087089;0,0561481007349684;-0,0940925554047884;0,160538708152961;-0,00564868106529526;-0,0775430944172369;-0,033932737906528;-0,0775052826743558
"2009-11-30";10,6431379179487;0,0439281321808108;0,0468067603502621;0,164307829734226;0,050836525394869;0,431325964445407;0,0585861699597119;-0,121540876318299;-0,0422281167997204;-0,0825081258270977;-0,0271113804738126;-0,141577039982138;-0,0788602291966467;0,0968273743874424;-0,0626739765607659;-0,13868307776014;0,107381243547272;-0,0373016008295628;-0,100152121147224;-0,0401580808846611;-0,127205374219933
"2009-12-31";21,0028875666931;0,158092450645369;0,19580751128474;0,154538116268608;0,0152596705381962;-0,081292204332084;-0,254284900810828;-0,062196830648644;0,0592343815386971;-0,047561090815581;-0,0580641239199995;-0,0752834426975289;-0,0389562213252337;0,109641419899742;0,0553385008702741;-0,108289730392026;0,252087948954372;-0,0133048072186154;-0,114551386531528;-0,0388320701905193;-0,107383191117413
"2010-01-29";14,4425423148954;-0,137123928555162;0,119225233912099;0,0372822824567031;0,142841983069492;0,125115298530459;-0,0806235504659858;0,0422276705593681;0,024774924283797;-0,157383430596516;-0,0376057941642037;0,313848553950546;-0,0515425821781973;0,0682760588155529;-0,0168508551514667;-0,148790674900393;0,114104080332201;0,0123039140897822;-0,157512600158836;-0,105145273370993;-0,107421310458247
"2010-02-27";17,5231880814298;-0,143544096213897;-0,0202375424139176;-0,0707684298734097;0,170228126690904;0,187381514464488;-0,221061458521205;0,0510768153318853;-0,0170143952517289;-0,0917320686534935;-0,00127644972673567;0,404469808881093;-0,0558137585596722;0,100361742675659;-0,00849425162644997;-0,115580895200967;0,0258372711622771;0,0606447207936941;-0,123043649920093;-0,0756893463570809;-0,0557436576813486
"2010-03-31";15,7247033793972;-0,159452107080999;-0,0073033327345042;0,0949706843809988;0,116557302811566;0,102197989355975;0,0145961579215428;0,17711796914167;-0,0334809305104259;-0,126723695015055;0,00294718433251545;0,33348288028848;-0,0772642052350946;0,0159606524385923;0,0347579674133522;-0,051349838559322;-0,0881288796688379;0,107411211915307;-0,124687741466762;-0,169419658230709;-0,162189611498291
"2010-04-30";21,3549222109299;-0,0377709195200969;-0,0157981053440333;0,277740016568409;0,0210446012501014;-0,104997494436807;-0,0154792174176464;0,224260844510608;0,0457020109648418;-0,130009355072648;0,059764437033876;0,0272133673892396;-0,0766564741770029;-0,0462144487257767;0,164259267974936;0,0619184060330859;-0,208470464469028;0,118097048274903;-0,0988575415568542;-0,0844371358431751;-0,181308843436931
"2010-05-31";17,4718145374036;-0,161824432191376;0,122180217958404;0,137245657133421;-0,020084830110229;-0,15282280117313;0,0724206954356964;0,220384223818798;-0,0351852024639419;-0,120192584489811;-0,0527728126232922;-0,0403192859262621;-0,0540931056095505;-0,0420005367032166;0,318172166283668;0,0947976777237869;-0,105790774326691;0,0347993616462257;-0,0743989039106773;-0,055314319858855;-0,0852004106129665
"2010-06-30";26,1432442791574;-0,169208686378047;0,247394012279209;0,0783872634280207;-0,0762972896530979;-0,27401212489354;0,0381232911173796;0,109054451172934;-0,11226156535244;0,0281999548397414;0,0464897897691606;-0,156603848126597;0,0816783758226951;0,0589716941581626;0,123699418797766;0,0902716691935543;-0,00257439877924651;-0,0808318286591639;0,0977300794213768;-0,0937968111848451;-0,0344134469730216
"2010-07-30";23,2666393448544;-0,216391680136557;0,170968177748447;0,0222272040128188;0,023342362019248;-0,307265720431844;-0,0455562967175834;-0,0267452887833139;-0,0852259438427557;0,0627329054532643;-0,0635416678552759;-0,0486804768515962;0,0663603848626025;0,0924789872226832;0,236218186049755;0,104929239571438;0,135270484238217;-0,0875474520435707;0,085472068821526;-0,118030013923093;-0,00101545941440977
"2010-08-31";30,1723158928008;-0,111306971420776;0,0855480262603122;0,0512991555674912;0,0638673428515283;-0,325223571285608;-0,0101880435787162;-0,117672454654153;-0,0938658478446862;0,283452924832663;0,0617574634960358;0,0820492157572678;-0,0210037108164476;0,0659558575787118;0,114283356214662;-0,0110420104280285;0,113053766412939;0,0115054955488357;0,0672273954795528;-0,256648314485489;-0,0530490754860958
"2010-09-30";21,7582392816027;-0,139522139608718;-0,0121406303141273;-0,126705311418757;0,0317742234175748;-0,0527142384844002;-0,0588624911715806;-0,11306972086639;0,222252290415398;0,0503916441120907;-0,0815962131131925;0,356570792034358;-0,0931275508915009;0,024555917266439;0,29794128908439;-0,0891321277750471;-0,0119868643032867;0,0165138436697492;-0,0708949391377074;-0,082878429718368;-0,0673693431969245
"2010-10-29";26,296427396164;-0,163497326344721;0,0383145456502031;0,0592322624442793;0,19000515474571;-0,0438039757642087;-0,00222788517291791;-0,131679946857714;0,0320609976674141;0,121772410130035;-0,0884376944634623;0,0944398936629716;-0,129064785847894;0,182811922887611;0,136336049196797;-0,158019908435871;0,123775829433701;0,0212509341812777;-0,13597495408244;-0,0571011231632511;-0,0901923998675186
"2010-11-30";21,1779916745607;-0,0736297349894378;0,0920095319543594;0,115377895103267;0,168769200926665;-0,0705069160328159;-0,117655417865545;-0,117133900280023;0,16205610414904;0,051607091772868;-0,138807949773753;0,0537736217649291;-0,109285135500462;0,117706906998012;0,0629208699961473;-0,134515805437993;0,157238201350618;0,0185405759840943;-0,0905001926111918;-0,0927499650118794;-0,0552149824968981
"2010-12-30";15,3819365087205;-0,0726519177414336;0,19457574520309;0,106048189806059;0,0188505327937619;-0,0973040543603958;-0,141876452783905;-0,0968666658198839;0,110549052569662;0,359240013544975;-0,107287298189585;-0,0190679483647681;-0,13726697378024;-0,0218657032596623;-0,0318842287859973;-0,0595748592283606;0,0283357029314787;0,156202091276424;-0,135307353686404;-0,0790465439993643;0,0261986718745501
