"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"Count"
"2008-04-30";0,0167492374182192;0,0134784613340884;NA;0,0233227186388129;-0,012992179747157;NA;NA;0,0171452164213128;NA;-0,00136767920628321;0,0140600168634326;0,00685229236907206;-0,0272914917574412;-0,0125128476845159;-0,0183507493120393;-0,021906368584987;0,00248180982003873;-0,00283078646846757;-8,10331645120371e-05;0,00324338306042664;16
"2008-05-30";0,0330527264043963;0,0213584429794555;-0,00150679047166108;0,00627559645767117;-0,0169032296380147;NA;NA;0,0087145763253615;NA;-0,0100947352777257;0,00812143345108145;0,0117252236201095;-0,0264017484548544;-0,00634147052360759;-0,0211315267800226;-0,022732070073392;-0,00234865121810111;0,00751652590210034;0,0052759679125756;0,0054197293846278;17
"2008-06-30";0,0395283463361191;0,0237368448069236;0,00256331717160143;-0,00676320356741587;-0,0144098640155634;NA;NA;0,0247731331843438;NA;-0,00992645369639464;0,00196173361066985;0,00864085152626243;-0,0245557120256411;-0,00373301993428721;-0,0215144900155875;-0,0239434984277356;-0,0115860731493089;-0,000625014390018213;0,00894626467728305;0,00690683790874925;17
"2008-07-31";0,0205122513844652;0,0225150164602855;0,00905874928378401;-0,00269368911172509;-0,00695532700248354;NA;NA;0,00826268925024336;NA;-0,00634921696300399;-0,00806277685471262;0,00176019048878753;-0,0124481622315347;0,00151755307541773;-0,0142796751483466;-0,0139812001963351;-0,0123660264892;-0,00186125817532086;0,014465128961699;0,000905753267980175;17
"2008-08-29";0,00175150282491416;0,0151943961535709;0,0130785543615161;-0,00353791384591323;-0,0130110939181767;NA;NA;0,00660632806983831;0,0460774521747538;-0,00807719733101649;-0,00652094786901306;0,00121925479652562;-0,0140473993243791;0,000331501747526815;-0,0132634441235363;-0,0168314547971963;-0,00898897326418382;0,00059583504944169;0,00517036888671059;-0,00574676959138304;18
"2008-09-30";0,00764379717441514;0,00264946466524327;0,00789648433356361;0,00516739896025721;-0,0220748424101068;NA;NA;-0,00424576474417289;0,0147482529777086;0,000400792274430406;-0,00554057743565049;0,00124750481989311;-0,0101487134065494;0,0049248796670437;-0,00734063259846857;-0,00886664541480397;-0,00270467222899631;0,00815342680780983;0,00859151448902252;-0,000501667930639062;18
"2008-10-31";0,000193321432614431;0,00871433454720878;-0,00174933256406062;0,0107063067125287;-0,017766936285585;NA;NA;-0,010464917159795;0,0135441007217245;-0,00197083736183661;-0,0162273866260477;-0,00662614462583203;-0,0025870750684698;-0,00613718325047158;0,0164810340203922;-0,00821294682944802;-0,000173850157788387;0,00842567349481042;0,0143965552888596;-0,000544716288803944;18
"2008-11-28";0,00178026229568767;-0,00188359101262076;0,000224726272685993;0,00668976083933437;-0,0157766059646199;NA;NA;-0,00551836867797303;-0,00669752134176929;-0,000126187371882395;-0,0118910838066707;-0,00249881480507328;-0,00026837037425681;-0,00267208732049895;0,0242825385673032;-0,00341362694417091;-0,00336270096823212;0,00778713471501173;0,0113921788105593;0,00195235708718592;18
"2008-12-31";0,00649230250606074;-0,00549056923043191;0,000231499635531145;-0,00454341193991529;-0,0171052331901153;NA;NA;-0,00307342139109172;-0,00445203900786572;0,000798055982966543;-0,0109125968694319;0,000318178837747793;0,0019455958308497;0,00370535605769617;0,0214725244109135;-0,00256272173869869;-0,00331032863975868;0,00697020974565484;0,0091967582806344;0,000319840719254449;18
"2009-01-30";0,00922906592256858;0,00129745512433675;-0,00234726431278786;-0,00616368532001171;-0,0170129915846981;NA;NA;-0,00229973690177886;-0,00890697320116816;0,00310582621716171;-0,0102447781485975;0,00275019025965601;-0,00491977828862328;0,00816532679240201;0,0184140778263495;-0,00701932904819967;-0,00588794186640188;0,011889753359768;0,00828264779099902;0,00166813537902542;18
"2009-02-27";0,00606746133003537;0,00313369765888848;0,00251271032041677;-0,00266366037135473;-0,0154866185866861;NA;-0,00259107661519602;-0,000955445318830844;-0,00875498065591447;0,00405268519023255;-0,00614809522667884;0,00131123362759642;-0,00666566915428154;0,00870633389908521;0,0194724890429774;-0,00843877625332902;-0,00449376927471995;0,00559026520301206;0,00568089358325391;-0,000329678398506698;19
"2009-03-31";0,0014512351498849;-0,0012706398255352;0,000449774305037909;0,00427647753743358;-0,0180801462175143;NA;-0,000223946579642712;-0,00535024247999823;-0,00947451182684099;0,00556730104750872;-0,0118373827168413;0,00185690764027758;-0,00390652052437934;0,0152594588107059;0,0211921968998287;-0,00716881751559146;-0,00355564026182516;0,0068752205088564;0,00631753613580879;-0,00237826008717391;19
"2009-04-30";0,000731789552525866;0,0011467149589993;-0,00141116853318196;-0,00558370461346571;-0,0235376348435817;0,00742970602856327;0,000701870941012464;-0,00483563274839825;-0,0141076244740131;0,00211447725414321;-0,0137452032842857;0,00674679741551015;-0,00964055059087553;0,0226437746386745;0,0275000839850211;-0,00904699746813696;-0,000969218285253706;0,0094637178762154;0,00684070872443113;-0,00244190653390373;20
"2009-05-29";0,00702108956340723;0,00176802783299126;-0,00469192743898402;-0,0130710736323925;-0,0319915672352219;0,00423021287233416;-0,00118714463308348;-0,00722537012056756;-0,0104818207800726;-0,00428004978014048;-0,0176697020515168;0,0176052250416857;-0,00554589372206512;0,0185531532737528;0,0343284242451533;-2,74915502598061e-05;-0,00242180817975944;0,0062380274581748;0,0106532407615219;-0,00180355192495729;20
"2009-06-30";-0,00356160134514065;0,0064803230208236;-0,00675661301889622;-0,0214915556619204;-0,0332151443183878;0,0376679546614854;0,0181341551276859;0,0131996503068843;-0,0162442342827754;-0,0120756350821043;-0,0178988552617114;0,0214554275534359;-0,0140710653943663;0,020243712237243;0,0311976020973829;-0,0046497146989855;-0,00765503455587;-0,00285184965700311;0,000915393851604968;-0,00882291557938482;20
"2009-07-31";0,00223033100421681;-0,0243233572316693;-0,00622872055481177;-0,059217761056922;-0,0581523024553893;0,0489646668438158;0,0235678414469904;0,0772202153045654;-0,0339825055752728;-0,0193714462273669;0,0334609765450435;0,069496763980191;-0,0343598143038843;0,0751128522205922;-0,0157289356014645;-0,0101149351462339;-0,025818784974079;-0,00918646692209397;-0,00892914428590347;-0,024639473010324;20
"2009-08-31";0,00285596618146058;0,00435097740217674;0,00168251346320309;-0,0661942364365161;-0,0369102178381372;-0,0162879133660652;-0,0195819980310498;0,0317315013706689;0,0371286477747155;-0,0142609902456518;0,0327679455981517;0,0381079965287697;-0,0300494309812413;0,115926293071227;-0,0240343922393046;0,0033950134632031;-0,0148570869618241;-0,00878119298254236;-0,00754471457795824;-0,0294446811932855;20
"2009-09-30";-0,0147480512550444;0,0161395640456911;0,0163417805108097;-0,0323451903226513;0,0904535832338121;0,0278307685015591;-0,0284866158037315;0,0113936125989473;-0,00809023737391035;-0,0242806453447463;0,0236148553938114;-0,00152359181728838;-0,0323047978031753;0,0741591933971226;-0,0370896912043476;0,0161147469973335;-0,0203685466368286;-0,0304344111448297;-0,0124750918061146;-0,0339012341664189;20
"2009-10-30";-0,0229896964188852;-0,022436746101482;0,0257258773947153;-0,0394454792742392;0,131782442935424;0,0603763333217669;-0,0388673641572247;-0,0110264671249301;0,0214835634999018;-0,0345235499502094;-0,00723110847326716;-0,0190202933938719;0,00508115531365518;0,0474158687843245;-0,0424874609284733;0,0718605859753253;0,00362789023192409;-0,0532664143413548;-0,0268712325485057;-0,0491879047445936;20
"2009-11-30";-0,0235326824252044;-0,0239076783563294;0,0234615336190883;-0,0391486068995268;0,135724721869373;0,0142156060172783;-0,0254359719313884;0,000354063904606861;0,0226996519751609;-0,0323342711449297;-0,0360980168688689;-0,0167902882432599;0,036806515789236;0,0291436862997993;-0,0573489158780496;0,120576234593411;-0,00273409473168287;-0,0481244642709407;-0,0276931553248366;-0,0498338679929369;20
"2009-12-31";-0,00387956779160903;0,00631301369926648;0,0259131887648404;-0,0337947703662212;0,034647220430604;0,00516765162380947;-0,0263474133483453;0,00853884046748249;-0,0230971562394514;-0,0246908053643247;0,00699442463601155;-0,0144638088427133;0,0225467836662156;0,0364099973132521;-0,038599773566993;0,0977844565803239;0,000819066770124699;-0,0350132363196712;-0,0157323196949538;-0,0295157924176476;20
"2010-01-29";-0,00315020855231543;-0,00348671437304081;0,00609918304296118;-0,00597531140973538;0,0424061509504339;-0,0113045189279269;-0,016770592265056;0,00439244206744116;-0,00642445489983836;-0,0178118900438188;0,0406722917232178;-0,0176831657434383;0,030970709112007;0,00570606302690007;-0,0342781686350905;0,07017408212788;-0,00395815145862213;-0,0317399777315129;-0,022026596823452;-0,0258111711869936;20
"2010-02-27";-0,00332836721197086;-0,0106206780304165;0,0167206885557051;0,00939138396775115;0,0584389001546572;-0,0155215722399549;-0,0184401470510308;0,00805795861163926;-0,014088108126594;-0,00274396875084381;0,0289882000189397;-0,0203725316868124;0,0132548520250377;0,0158403983607453;-0,0215738697041132;0,0168452213149082;-0,00344059259614734;-0,0214430608417606;-0,0135011288584191;-0,0224635779113201;20
"2010-03-31";-0,0104092554730269;-0,0134625788687581;0,0221834199105429;0,0122131790840613;0,0988592365241481;-0,0196660500294767;-0,0222728788988285;-0,00810219029511832;-0,0270154269291955;-0,0101714337984103;0,0314989223765484;-0,0309180065723217;0,0282334740890611;0,0204715746132671;-0,0210815311717746;0,0238144858415882;0,00731099543635116;-0,0282984072793857;-0,0193771528974635;-0,0338103756618085;20
"2010-04-30";-0,00710063901582884;0,000811811379079308;0,0297981203958373;0,0181398325642102;0,064689822077766;0,000450012090243412;-0,00384162105537204;-0,0140668740849186;-0,0258469303357573;-0,00514465135840232;0,0107532342119672;-0,0238139236391341;0,0114184675325451;0,0171320657104344;-0,0202880919664792;0,0121166926516463;0,00853708780963034;-0,0273477906489078;-0,0183502323424451;-0,0280463919761143;20
"2010-05-31";-0,0178416334595644;0,013531911075736;0,0233154834399032;0,017571088792131;0,0460924080973272;-0,00695231146456129;0,00525307574082592;-0,00786187774726189;-0,0218451054726056;-0,00655168932865635;0,00584738079623851;-0,0152288276186382;0,0151624613309246;0,015149032150347;-0,0162239832284592;0,00424383724581892;0,00338451464634711;-0,0224481139868213;-0,0130003800154045;-0,0215972709936268;20
