date,mean_return,stability_index
13.10.2014,-2.1710841294345,-2.5033365372894
14.10.2014,-1.90429924142166,-2.08865093859277
15.10.2014,-1.43010538891142,-1.5778241462914
16.10.2014,-1.3182207647188,-1.45793518768211
17.10.2014,-1.75239614662032,-1.91389666305728
20.10.2014,-1.91511827820863,-2.13465476585162
21.10.2014,-1.87903714330006,-1.96732213035084
22.10.2014,-2.3592324987862,-2.44332405001853
23.10.2014,-2.105085614034,-2.05558799306361
24.10.2014,-1.97403664406709,-1.91898212126956
27.10.2014,-2.02510669842321,-1.9852539379395
28.10.2014,-2.43700422703874,-2.27663879038186
29.10.2014,-2.11794171213188,-1.91769447530093
30.10.2014,-2.09710712428665,-1.93198345116402
31.10.2014,-2.71399619022837,-2.4475726225785
03.11.2014,-2.874412365192,-2.43853389149559
