GAZP RX Equity;;;ROSN RX Equity;;;LKOH RX Equity;;;GMKN RX Equity;;;SBER RX Equity;;;SNGS RX Equity;;;MGNT RX Equity;;;VTBR RX Equity;;;TATN RX Equity;;;CHMF RX Equity;;;MTSS RX Equity;;;URKA RX Equity;;;NLMK RX Equity;;;HYDR RX Equity;;;FEES RX Equity;;;PIKK RX Equity;;;AFLT RX Equity;;;PHST RX Equity;;;NVTK RX Equity;;;SIBN RX Equity;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
31.03.2010;171.88;;30.09.2010;203.71;;31.03.2010;1671.49;;28.02.2011;7007.94;;31.03.2010;85.83;;31.03.2010;28.951;;30.09.2010;3578.77;;29.07.2011;0.08317;;31.03.2010;146.14;;31.03.2010;356.04;;31.03.2010;254.52;;31.01.2012;216.34;;30.06.2010;81.96;;31.07.2012;0.8201;;28.09.2012;0.23139;;31.08.2011;108.91;;31.03.2010;68.28;;31.10.2011;2115.4;;30.04.2010;197.97;;31.03.2010;154.09
30.04.2010;170.33;;29.10.2010;215.78;;30.04.2010;1671.3;;31.03.2011;7468;;30.04.2010;78.67;;30.04.2010;29.331;;29.10.2010;3592.65;;31.08.2011;0.07504;;30.04.2010;144.7;;30.04.2010;349.9;;30.04.2010;266.66;;29.02.2012;237.78;;30.07.2010;94.13;;31.08.2012;0.8158;;31.10.2012;0.20446;;30.09.2011;102.99;;30.04.2010;62;;30.11.2011;2005;;31.05.2010;199.98;;30.04.2010;159.21
31.05.2010;160.01;;30.11.2010;208.3;;31.05.2010;1523.63;;29.04.2011;7643;;31.05.2010;71.05;;31.05.2010;28.358;;30.11.2010;3631;;30.09.2011;0.06693;;31.05.2010;139.61;;31.05.2010;308.63;;31.05.2010;233.25;;30.03.2012;222.93;;31.08.2010;90.12;;28.09.2012;0.8561;;30.11.2012;0.20932;;31.10.2011;91.04;;31.05.2010;57.03;;30.12.2011;1675.1;;30.06.2010;209.43;;31.05.2010;121.04
30.06.2010;149.37;;30.12.2010;218.7;;30.06.2010;1621.56;;31.05.2011;7023;;30.06.2010;76.68;;30.06.2010;27.921;;30.12.2010;4061.57;;31.10.2011;0.07336;;30.06.2010;139.98;;30.06.2010;276.13;;30.06.2010;236.94;;28.04.2012;221.74;;30.09.2010;109.59;;31.10.2012;0.7727;;28.12.2012;0.20125;;30.11.2011;82.24;;30.06.2010;57.15;;31.01.2012;1712.6;;30.07.2010;218.59;;30.06.2010;118.02
30.07.2010;162.89;;31.01.2011;254.61;;30.07.2010;1722.55;;30.06.2011;7297;;30.07.2010;84.45;;30.07.2010;30.721;;31.01.2011;3903.21;;30.11.2011;0.06767;;30.07.2010;146.76;;30.07.2010;320.28;;30.07.2010;240.68;;31.05.2012;230.94;;29.10.2010;106.39;;30.11.2012;0.7347;;31.01.2013;0.21626;;30.12.2011;77.46;;30.07.2010;60.59;;29.02.2012;1855.1;;31.08.2010;216.74;;30.07.2010;122.78
31.08.2010;158.72;;28.02.2011;271.85;;31.08.2010;1632.82;;29.07.2011;7407;;31.08.2010;78.3;;31.08.2010;28.919;;28.02.2011;3787.42;;30.12.2011;0.05884;;31.08.2010;141.45;;31.08.2010;333.78;;31.08.2010;249.12;;29.06.2012;248.6;;30.11.2010;117.52;;28.12.2012;0.7338;;28.02.2013;0.19094;;31.01.2012;73.72;;31.08.2010;60.99;;30.03.2012;1800.9;;30.09.2010;234.91;;31.08.2010;115.39
30.09.2010;159.96;;31.03.2011;260.17;;30.09.2010;1731.27;;31.08.2011;7216;;30.09.2010;86.02;;30.09.2010;29.342;;31.03.2011;3981.9;;31.01.2012;0.07058;;30.09.2010;146.59;;30.09.2010;403.31;;30.09.2010;250.64;;31.07.2012;269.21;;30.12.2010;144.67;;31.01.2013;0.7558;;29.03.2013;0.16129;;29.02.2012;80.89;;30.09.2010;66.41;;28.04.2012;1725;;29.10.2010;248.1;;30.09.2010;118.56
29.10.2010;168.96;;29.04.2011;244.19;;29.10.2010;1726.76;;30.09.2011;6991;;29.10.2010;101.34;;29.10.2010;30.281;;29.04.2011;3636.6;;29.02.2012;0.07249;;29.10.2010;147.89;;29.10.2010;377.19;;29.10.2010;249.97;;31.08.2012;247.89;;31.01.2011;128.03;;28.02.2013;0.6899;;30.04.2013;0.12036;;30.03.2012;74.67;;29.10.2010;75.76;;31.05.2012;1460;;30.11.2010;268.3;;29.10.2010;120.51
30.11.2010;174.41;;31.05.2011;242.22;;30.11.2010;1739.82;;31.10.2011;5966;;30.11.2010;101.75;;30.11.2010;29.612;;31.05.2011;3931.7;;30.03.2012;0.06686;;30.11.2010;148.21;;30.11.2010;401.13;;30.11.2010;254.08;;28.09.2012;258.17;;28.02.2011;131.8;;29.03.2013;0.6132;;31.05.2013;0.11971;;28.04.2012;70.93;;30.11.2010;79.92;;29.06.2012;1431.6;;30.12.2010;335.77;;30.11.2010;124.79
30.12.2010;193.62;;30.06.2011;236.17;;30.12.2010;1732.02;;30.11.2011;5444;;30.12.2010;104.36;;30.12.2010;32.244;;30.06.2011;3759.9;;28.04.2012;0.06322;;30.12.2010;146.28;;30.12.2010;464.44;;30.12.2010;259.88;;31.10.2012;247.24;;31.03.2011;125.1;;30.04.2013;0.5552;;28.06.2013;0.10158;;31.05.2012;75.77;;30.12.2010;79.75;;31.07.2012;1421.1;;31.01.2011;310.63;;30.12.2010;128.27
31.01.2011;197;;29.07.2011;235.75;;31.01.2011;1829.93;;30.12.2011;4943;;31.01.2011;105.83;;31.01.2011;33.223;;29.07.2011;3950.6;;31.05.2012;0.05296;;31.01.2011;161.28;;31.01.2011;483.94;;31.01.2011;249.53;;30.11.2012;230.16;;29.04.2011;106.67;;31.05.2013;0.4712;;31.07.2013;0.11138;;29.06.2012;73.75;;31.01.2011;77.62;;31.08.2012;1494;;28.02.2011;371.86;;31.01.2011;131.41
28.02.2011;211.1;;31.08.2011;227.74;;28.02.2011;2038.18;;31.01.2012;5833;;28.02.2011;102.09;;28.02.2011;33.33;;31.08.2011;3183.2;;29.06.2012;0.05711;;28.02.2011;173.48;;28.02.2011;491.7;;28.02.2011;247.04;;28.12.2012;234.9;;31.05.2011;103.31;;28.06.2013;0.5001;;30.08.2013;0.10546;;31.07.2012;72.81;;28.02.2011;73.12;;28.09.2012;1350;;31.03.2011;377.54;;28.02.2011;155.73
31.03.2011;229.05;;30.09.2011;189.84;;31.03.2011;2032.2;;29.02.2012;5777;;31.03.2011;106.79;;31.03.2011;30.847;;30.09.2011;2757.4;;31.07.2012;0.05299;;31.03.2011;183.22;;31.03.2011;499.76;;31.03.2011;258.98;;31.01.2013;228.08;;30.06.2011;108.36;;31.07.2013;0.5734;;30.09.2013;0.09881;;31.08.2012;72.89;;31.03.2011;73.4;;31.10.2012;1381;;29.04.2011;357.81;;31.03.2011;149
29.04.2011;231.6;;31.10.2011;218.15;;29.04.2011;1893.4;;30.03.2012;5400;;29.04.2011;99.95;;29.04.2011;28.71;;31.10.2011;3268.7;;31.08.2012;0.05341;;29.04.2011;177.3;;29.04.2011;450.28;;29.04.2011;255.08;;28.02.2013;230.31;;29.07.2011;103.94;;30.08.2013;0.5412;;31.10.2013;0.09803;;28.09.2012;70.47;;29.04.2011;68.64;;30.11.2012;1527.1;;31.05.2011;364.7;;29.04.2011;137.51
31.05.2011;204.56;;30.11.2011;223.77;;31.05.2011;1819.5;;28.04.2012;5201;;31.05.2011;97.61;;31.05.2011;26.713;;30.11.2011;2983.3;;28.09.2012;0.05287;;31.05.2011;161.1;;31.05.2011;454.94;;31.05.2011;235.35;;29.03.2013;231.4;;31.08.2011;87.61;;30.09.2013;0.536;;29.11.2013;0.07956;;31.10.2012;69.12;;31.05.2011;72.78;;28.12.2012;1632.2;;30.06.2011;345.76;;31.05.2011;124.37
30.06.2011;203.87;;30.12.2011;213.98;;30.06.2011;1775.6;;31.05.2012;4924;;30.06.2011;100.06;;30.06.2011;27.61;;30.12.2011;2815.8;;31.10.2012;0.05457;;30.06.2011;179.39;;30.06.2011;460.14;;30.06.2011;229.78;;30.04.2013;225.8;;30.09.2011;66.15;;31.10.2013;0.563;;30.12.2013;0.0902;;30.11.2012;65.35;;30.06.2011;69.25;;31.01.2013;1875.5;;29.07.2011;399.63;;30.06.2011;131.36
29.07.2011;199.36;;31.01.2012;225.23;;29.07.2011;1847.2;;29.06.2012;5383;;29.07.2011;101.66;;29.07.2011;27.839;;31.01.2012;3295.2;;30.11.2012;0.05224;;29.07.2011;184.77;;29.07.2011;478.52;;29.07.2011;240.46;;31.05.2013;231.15;;31.10.2011;82.23;;29.11.2013;0.5712;;31.01.2014;0.08453;;28.12.2012;67.54;;29.07.2011;70.07;;28.02.2013;2036.2;;31.08.2011;373.46;;29.07.2011;139.21
31.08.2011;178.52;;29.02.2012;225.82;;31.08.2011;1737.7;;31.07.2012;5004;;31.08.2011;84.81;;31.08.2011;24.66;;29.02.2012;3652;;28.12.2012;0.05364;;31.08.2011;158.96;;31.08.2011;401.89;;31.08.2011;218.35;;28.06.2013;218.59;;30.11.2011;73.19;;30.12.2013;0.5675;;28.02.2014;0.0715;;31.01.2013;66.22;;31.08.2011;56.87;;29.03.2013;2009.6;;30.09.2011;365.43;;31.08.2011;127.23
30.09.2011;156.07;;30.03.2012;210.05;;30.09.2011;1637.4;;31.08.2012;4773;;30.09.2011;70.54;;30.09.2011;26.035;;30.03.2012;3640.8;;31.01.2013;0.05569;;30.09.2011;134.12;;30.09.2011;305.09;;30.09.2011;177.46;;31.07.2013;143.77;;30.12.2011;62.87;;31.01.2014;0.556;;31.03.2014;0.07699;;28.02.2013;65.5;;30.09.2011;52.42;;30.04.2013;2052.3;;31.10.2011;397.12;;30.09.2011;112.93
31.10.2011;179.35;;28.04.2012;210.18;;31.10.2011;1758.5;;28.09.2012;4952;;31.10.2011;82.03;;31.10.2011;26.196;;28.04.2012;3699.7;;28.02.2013;0.05582;;31.10.2011;151.55;;31.10.2011;396.87;;31.10.2011;193.98;;30.08.2013;157.23;;31.01.2012;74.22;;28.02.2014;0.5618;;30.04.2014;0.05514;;29.03.2013;60.3;;31.10.2011;56.5;;31.05.2013;2078.9;;30.11.2011;418.97;;31.10.2011;127.94
30.11.2011;175.39;;31.05.2012;207.47;;30.11.2011;1723.7;;31.10.2012;4828;;30.11.2011;87.55;;30.11.2011;29.447;;31.05.2012;3326.8;;29.03.2013;0.04973;;30.11.2011;166.8;;30.11.2011;380.64;;30.11.2011;211.15;;30.09.2013;168.37;;29.02.2012;70.04;;31.03.2014;0.559;;30.05.2014;0.05757;;30.04.2013;61.26;;30.11.2011;50.5;;28.06.2013;2172.1;;30.12.2011;393.94;;30.11.2011;139.88
30.12.2011;171.37;;29.06.2012;204.5;;30.12.2011;1703.3;;30.11.2012;4823;;30.12.2011;79.35;;30.12.2011;25.314;;29.06.2012;3897.4;;30.04.2013;0.04922;;30.12.2011;159.09;;30.12.2011;327.23;;30.12.2011;183.48;;31.10.2013;171;;30.03.2012;61.67;;30.04.2014;0.557;;30.06.2014;0.05886;;31.05.2013;63.06;;30.12.2011;50.54;;31.07.2013;1702.2;;31.01.2012;391.73;;30.12.2011;148.18
31.01.2012;184.02;;31.07.2012;195.44;;31.01.2012;1771.6;;28.12.2012;5606;;31.01.2012;90.32;;31.01.2012;28.428;;31.07.2012;4179.7;;31.05.2013;0.04602;;31.01.2012;176.99;;31.01.2012;394.36;;31.01.2012;213.73;;29.11.2013;165.72;;28.04.2012;63.46;;30.05.2014;0.6861;;31.07.2014;0.05259;;28.06.2013;63.74;;31.01.2012;50.05;;30.08.2013;1665.7;;29.02.2012;399.41;;31.01.2012;148.83
29.02.2012;193.91;;31.08.2012;193.09;;29.02.2012;1875.3;;31.01.2013;5981;;29.02.2012;100.11;;29.02.2012;30.41;;31.08.2012;4187.5;;28.06.2013;0.04691;;29.02.2012;193.95;;29.02.2012;401.35;;29.02.2012;223.83;;30.12.2013;171.9;;31.05.2012;52.64;;30.06.2014;0.67;;29.08.2014;0.054;;31.07.2013;70.98;;29.02.2012;50.63;;30.09.2013;1666.3;;30.03.2012;388.4;;29.02.2012;156.95
30.03.2012;181.08;;28.09.2012;210.72;;30.03.2012;1782.7;;28.02.2013;5416;;30.03.2012;94.64;;30.03.2012;29.04;;28.09.2012;4153.3;;31.07.2013;0.04661;;30.03.2012;196.95;;30.03.2012;352.41;;30.03.2012;229.38;;31.01.2014;170.37;;29.06.2012;52.51;;31.07.2014;0.6168;;30.09.2014;0.05645;;30.08.2013;65.44;;30.03.2012;47.75;;31.10.2013;1682.7;;28.04.2012;378.58;;30.03.2012;156.39
28.04.2012;169.17;;31.10.2012;232.77;;28.04.2012;1797.4;;29.03.2013;5246;;28.04.2012;94.03;;28.04.2012;28.907;;31.10.2012;4468.2;;30.08.2013;0.0446;;28.04.2012;181.66;;28.04.2012;359.13;;28.04.2012;233.5;;28.02.2014;165.28;;31.07.2012;53.24;;29.08.2014;0.6933;;31.10.2014;0.05361;;30.09.2013;63.94;;28.04.2012;48.81;;29.11.2013;1462.8;;31.05.2012;290.91;;28.04.2012;140.6
31.05.2012;147.23;;30.11.2012;244.55;;31.05.2012;1729.1;;30.04.2013;5152;;31.05.2012;81.76;;31.05.2012;24.862;;30.11.2012;4493.2;;30.09.2013;0.04255;;31.05.2012;167.22;;31.05.2012;329.38;;31.05.2012;225.61;;31.03.2014;167.74;;31.08.2012;55.83;;30.09.2014;0.7036;;28.11.2014;0.0536;;31.10.2013;63.09;;31.05.2012;43.84;;30.12.2013;1166.9;;29.06.2012;326.71;;31.05.2012;132.5
29.06.2012;153.85;;28.12.2012;270.11;;29.06.2012;1801.4;;31.05.2013;4640;;29.06.2012;86.39;;29.06.2012;26.711;;28.12.2012;4826.3;;31.10.2013;0.04445;;29.06.2012;180.26;;29.06.2012;339.77;;29.06.2012;234.98;;30.04.2014;157.5;;28.09.2012;62.07;;31.10.2014;0.693;;30.12.2014;0.04569;;29.11.2013;64.01;;29.06.2012;43.47;;31.01.2014;1120.1;;31.07.2012;347.05;;29.06.2012;147.85
31.07.2012;150.44;;31.01.2013;266.46;;31.07.2012;1826.5;;28.06.2013;4747;;31.07.2012;89.68;;31.07.2012;27.093;;31.01.2013;5651;;29.11.2013;0.04625;;31.07.2012;197.2;;31.07.2012;325.08;;31.07.2012;247.7;;30.05.2014;155.06;;31.10.2012;58.96;;28.11.2014;0.6;;30.01.2015;0.04982;;30.12.2013;71.5;;31.07.2012;41.63;;28.02.2014;950;;31.08.2012;364.16;;31.07.2012;155.13
31.08.2012;157.21;;28.02.2013;244.42;;31.08.2012;1836.1;;31.07.2013;4440;;31.08.2012;93.24;;31.08.2012;27.979;;28.02.2013;5698.6;;30.12.2013;0.04964;;31.08.2012;195.69;;31.08.2012;330.45;;31.08.2012;242.23;;30.06.2014;156;;30.11.2012;62.35;;30.12.2014;0.5415;;27.02.2015;0.07535;;31.01.2014;67;;31.08.2012;42.53;;31.03.2014;1230.1;;28.09.2012;347.37;;31.08.2012;151.48
28.09.2012;157.82;;29.03.2013;238.73;;28.09.2012;1930.6;;30.08.2013;4367;;28.09.2012;91.08;;28.09.2012;28.164;;29.03.2013;5935.8;;31.01.2014;0.04556;;28.09.2012;202.46;;28.09.2012;352.23;;28.09.2012;229.15;;31.07.2014;136.36;;28.12.2012;61.15;;30.01.2015;0.5251;;;;;28.02.2014;82.5;;28.09.2012;43.43;;30.04.2014;1190.8;;31.10.2012;340.53;;28.09.2012;152.59
31.10.2012;145;;30.04.2013;214.3;;31.10.2012;1904.4;;30.09.2013;4670;;31.10.2012;91.82;;31.10.2012;27.284;;30.04.2013;6625.7;;28.02.2014;0.04225;;31.10.2012;196.97;;31.10.2012;344.52;;31.10.2012;230.77;;29.08.2014;133.57;;31.01.2013;63.43;;27.02.2015;0.6448;;;;;31.03.2014;80.84;;31.10.2012;39.94;;30.05.2014;1100;;30.11.2012;331.67;;31.10.2012;153.3
30.11.2012;138.8;;31.05.2013;210.76;;30.11.2012;1939.3;;31.10.2013;4880;;30.11.2012;91.4;;30.11.2012;26.207;;31.05.2013;7143.6;;31.03.2014;0.0396;;30.11.2012;197.41;;30.11.2012;316.65;;30.11.2012;231.54;;30.09.2014;139.85;;28.02.2013;58.8;;;;;;;;30.04.2014;82.31;;30.11.2012;42.98;;30.06.2014;1217.1;;28.12.2012;345.96;;30.11.2012;140.88
28.12.2012;143.91;;28.06.2013;226.9;;28.12.2012;2009.1;;29.11.2013;4985;;28.12.2012;92.92;;28.12.2012;26.843;;28.06.2013;7516;;30.04.2014;0.03865;;28.12.2012;217.96;;28.12.2012;330.99;;28.12.2012;245.99;;31.10.2014;154;;29.03.2013;49.03;;;;;;;;30.05.2014;93.98;;28.12.2012;44.88;;31.07.2014;1180;;31.01.2013;334.11;;28.12.2012;142.52
31.01.2013;142.05;;31.07.2013;234.94;;31.01.2013;2020.8;;30.12.2013;5400;;31.01.2013;109.38;;31.01.2013;31.482;;31.07.2013;8024.7;;30.05.2014;0.0479;;31.01.2013;221.41;;31.01.2013;337.8;;31.01.2013;256.36;;28.11.2014;132.8;;30.04.2013;51.62;;;;;;;;30.06.2014;79.45;;31.01.2013;53.53;;29.08.2014;1231.9;;28.02.2013;328.19;;31.01.2013;146.59
28.02.2013;137.33;;30.08.2013;246.82;;28.02.2013;1972.6;;31.01.2014;5380;;28.02.2013;104.46;;28.02.2013;28.828;;30.08.2013;7413.9;;30.06.2014;0.0411;;28.02.2013;203.08;;28.02.2013;306.16;;28.02.2013;266.63;;30.12.2014;128.4;;31.05.2013;44.75;;;;;;;;31.07.2014;78.26;;28.02.2013;53.13;;30.09.2014;1360.3;;29.03.2013;314.91;;28.02.2013;137.75
29.03.2013;134.08;;30.09.2013;262.81;;29.03.2013;2003.1;;28.02.2014;5989;;29.03.2013;98.83;;29.03.2013;27.827;;30.09.2013;8205.9;;31.07.2014;0.0398;;29.03.2013;206.9;;29.03.2013;250.69;;29.03.2013;276.06;;30.01.2015;174.7;;28.06.2013;43.19;;;;;;;;29.08.2014;96.73;;29.03.2013;52.7;;31.10.2014;1240;;30.04.2013;291.38;;29.03.2013;131.58
30.04.2013;124.15;;31.10.2013;254.47;;30.04.2013;1970.3;;31.03.2014;5865;;30.04.2013;99.02;;30.04.2013;26.681;;31.10.2013;8630.1;;29.08.2014;0.0384;;30.04.2013;199.04;;30.04.2013;234.37;;30.04.2013;274.14;;27.02.2015;169.75;;31.07.2013;47.81;;;;;;;;30.09.2014;117.2;;30.04.2013;53.74;;28.11.2014;1195;;31.05.2013;320.15;;30.04.2013;125.79
31.05.2013;122.45;;29.11.2013;238.59;;31.05.2013;1878.2;;30.04.2014;6405;;31.05.2013;98.73;;31.05.2013;24.394;;29.11.2013;9200;;30.09.2014;0.03804;;31.05.2013;181.55;;31.05.2013;232.76;;31.05.2013;254.29;;;;;30.08.2013;53.49;;;;;;;;31.10.2014;150;;31.05.2013;51.8;;30.12.2014;915;;28.06.2013;348.68;;31.05.2013;121.45
28.06.2013;108.85;;30.12.2013;251.54;;28.06.2013;1887.5;;30.05.2014;6656;;28.06.2013;93.5;;28.06.2013;25.608;;30.12.2013;9218.4;;31.10.2014;0.03993;;28.06.2013;196.07;;28.06.2013;187.59;;28.06.2013;259.06;;;;;30.09.2013;52.13;;;;;;;;28.11.2014;178;;28.06.2013;56.51;;30.01.2015;920;;31.07.2013;356.44;;28.06.2013;117.41
31.07.2013;128.67;;31.01.2014;244.49;;31.07.2013;1949.7;;30.06.2014;6719;;31.07.2013;95.22;;31.07.2013;26.164;;31.01.2014;8395;;28.11.2014;0.0467;;31.07.2013;203.68;;31.07.2013;221.92;;31.07.2013;273.84;;;;;31.10.2013;54.96;;;;;;;;30.12.2014;187.3;;31.07.2013;57.36;;27.02.2015;1135;;30.08.2013;361.5;;31.07.2013;117.77
30.08.2013;131.54;;28.02.2014;244.2;;30.08.2013;1924.6;;31.07.2014;7060;;30.08.2013;88.16;;30.08.2013;26.129;;28.02.2014;8788.7;;30.12.2014;0.067;;30.08.2013;208.8;;30.08.2013;247.28;;30.08.2013;287.81;;;;;29.11.2013;53.73;;;;;;;;30.01.2015;189.7;;30.08.2013;48.72;;;;;30.09.2013;386;;30.08.2013;135.45
30.09.2013;143.89;;31.03.2014;234.53;;30.09.2013;2050.2;;29.08.2014;7230;;30.09.2013;97.7;;30.09.2013;28.489;;31.03.2014;8100;;30.01.2015;0.06894;;30.09.2013;210.5;;30.09.2013;253.02;;30.09.2013;323;;;;;30.12.2013;55.18;;;;;;;;27.02.2015;195;;30.09.2013;54.65;;;;;31.10.2013;412.09;;30.09.2013;141.58
31.10.2013;150.48;;30.04.2014;222.62;;31.10.2013;2104;;30.09.2014;7320;;31.10.2013;102.8;;31.10.2013;28.23;;30.04.2014;7066.8;;27.02.2015;0.068;;31.10.2013;221;;31.10.2013;251.67;;31.10.2013;337.6;;;;;31.01.2014;51.78;;;;;;;;;;;31.10.2013;57.4;;;;;29.11.2013;399;;31.10.2013;145.12
29.11.2013;142.86;;30.05.2014;226;;29.11.2013;2041.1;;31.10.2014;8033;;29.11.2013;103.27;;29.11.2013;27.38;;30.05.2014;8810;;;;;29.11.2013;202.81;;29.11.2013;270.22;;29.11.2013;313.98;;;;;28.02.2014;48.28;;;;;;;;;;;29.11.2013;60.49;;;;;30.12.2013;399.7;;29.11.2013;148.35
30.12.2013;138.75;;30.06.2014;249.3;;30.12.2013;2040;;28.11.2014;8820;;30.12.2013;101.05;;30.12.2013;28.315;;30.06.2014;8860;;;;;30.12.2013;207.64;;30.12.2013;285.91;;30.12.2013;328.16;;;;;31.03.2014;44.02;;;;;;;;;;;30.12.2013;83.81;;;;;31.01.2014;393.47;;30.12.2013;146.77
31.01.2014;145.05;;31.07.2014;223;;31.01.2014;1983.1;;30.12.2014;8080;;31.01.2014;94.8;;31.01.2014;27;;31.07.2014;9150;;;;;31.01.2014;194.45;;31.01.2014;253.37;;31.01.2014;288.5;;;;;30.04.2014;41.04;;;;;;;;;;;31.01.2014;84.77;;;;;28.02.2014;412;;31.01.2014;141.57
28.02.2014;140;;29.08.2014;226;;28.02.2014;1967.6;;30.01.2015;11610;;28.02.2014;91.1;;28.02.2014;27.611;;29.08.2014;9099;;;;;28.02.2014;212;;28.02.2014;267;;28.02.2014;277;;;;;30.05.2014;47;;;;;;;;;;;28.02.2014;71.2;;;;;31.03.2014;351;;28.02.2014;142.8
31.03.2014;135.5;;30.09.2014;232;;31.03.2014;1960;;27.02.2015;11182;;31.03.2014;83.8;;31.03.2014;25.854;;30.09.2014;9920;;;;;31.03.2014;200;;31.03.2014;238.86;;31.03.2014;271;;;;;30.06.2014;47.38;;;;;;;;;;;31.03.2014;55.2;;;;;30.04.2014;341.4;;31.03.2014;143.96
30.04.2014;128.77;;31.10.2014;239.9;;30.04.2014;1880.1;;;;;30.04.2014;72.5;;30.04.2014;24.9;;31.10.2014;11900;;;;;30.04.2014;203.39;;30.04.2014;223.08;;30.04.2014;258.5;;;;;31.07.2014;47.5;;;;;;;;;;;30.04.2014;50.92;;;;;30.05.2014;370;;30.04.2014;138.52
30.05.2014;141.7;;28.11.2014;233.74;;30.05.2014;1968;;;;;30.05.2014;84.5;;30.05.2014;25.089;;28.11.2014;11795;;;;;30.05.2014;202.1;;30.05.2014;263.95;;30.05.2014;282.5;;;;;29.08.2014;53.26;;;;;;;;;;;30.05.2014;55.15;;;;;30.06.2014;420;;30.05.2014;140.24
30.06.2014;148.96;;30.12.2014;195.8;;30.06.2014;2036;;;;;30.06.2014;84.5;;30.06.2014;26.436;;30.12.2014;9701;;;;;30.06.2014;221.88;;30.06.2014;250.06;;30.06.2014;302.01;;;;;30.09.2014;57.62;;;;;;;;;;;30.06.2014;56.43;;;;;31.07.2014;365.5;;30.06.2014;150.5
31.07.2014;132;;30.01.2015;229.35;;31.07.2014;2000.9;;;;;31.07.2014;73.6;;31.07.2014;24.86;;30.01.2015;10590;;;;;31.07.2014;212.9;;31.07.2014;307.42;;31.07.2014;275.91;;;;;31.10.2014;55.055;;;;;;;;;;;31.07.2014;50.55;;;;;29.08.2014;368;;31.07.2014;133.02
29.08.2014;131.95;;27.02.2015;265.85;;29.08.2014;2055;;;;;29.08.2014;73.21;;29.08.2014;25.525;;27.02.2015;11305;;;;;29.08.2014;228;;29.08.2014;322.21;;29.08.2014;281.87;;;;;28.11.2014;60.43;;;;;;;;;;;29.08.2014;46.73;;;;;30.09.2014;408.77;;29.08.2014;141.45
30.09.2014;137.9;;;;;30.09.2014;2015;;;;;30.09.2014;75.52;;30.09.2014;26.04;;;;;;;;30.09.2014;232;;30.09.2014;352.68;;30.09.2014;274;;;;;30.12.2014;66.79;;;;;;;;;;;30.09.2014;43.25;;;;;31.10.2014;442.05;;30.09.2014;144.2
31.10.2014;141.5;;;;;31.10.2014;2120;;;;;31.10.2014;76.23;;31.10.2014;28.795;;;;;;;;31.10.2014;259.8;;31.10.2014;409.68;;31.10.2014;255;;;;;30.01.2015;91.995;;;;;;;;;;;31.10.2014;38.2;;;;;28.11.2014;460;;31.10.2014;151.7
28.11.2014;142.86;;;;;28.11.2014;2291.7;;;;;28.11.2014;72.25;;28.11.2014;29.2;;;;;;;;28.11.2014;248.65;;28.11.2014;454.75;;28.11.2014;251;;;;;27.02.2015;81.1;;;;;;;;;;;28.11.2014;41.78;;;;;30.12.2014;434.6;;28.11.2014;157.9
30.12.2014;130.31;;;;;30.12.2014;2225;;;;;30.12.2014;54.9;;30.12.2014;23.52;;;;;;;;30.12.2014;228.5;;30.12.2014;501.9;;30.12.2014;169.05;;;;;;;;;;;;;;;;;30.12.2014;32.23;;;;;30.01.2015;460;;30.12.2014;143
30.01.2015;143.82;;;;;30.01.2015;2789.9;;;;;30.01.2015;61.5;;30.01.2015;31.1;;;;;;;;30.01.2015;270.15;;30.01.2015;642.35;;30.01.2015;217.85;;;;;;;;;;;;;;;;;30.01.2015;38.25;;;;;27.02.2015;503.7;;30.01.2015;156.9
27.02.2015;152.95;;;;;27.02.2015;2981.2;;;;;27.02.2015;75.91;;27.02.2015;34.2;;;;;;;;27.02.2015;316;;27.02.2015;682;;27.02.2015;249;;;;;;;;;;;;;;;;;27.02.2015;39.19;;;;;;;;27.02.2015;172.6
