GAZP RX Equity;;;ROSN RX Equity;;;LKOH RX Equity;;;GMKN RX Equity;;;SBER RX Equity;;;SNGS RX Equity;;;MGNT RX Equity;;;VTBR RX Equity;;;TATN RX Equity;;;CHMF RX Equity;;;MTSS RX Equity;;;URKA RX Equity;;;NLMK RX Equity;;;HYDR RX Equity;;;FEES RX Equity;;;PIKK RX Equity;;;AFLT RX Equity;;;PHST RX Equity;;;NVTK RX Equity;;;SIBN RX Equity;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
31.07.2008;277.1;;30.01.2009;112.83;;31.07.2008;1915.03;;30.06.2009;2823.17;;31.07.2008;69.21;;31.07.2008;20.819;;30.01.2009;505.08;;30.11.2009;0.06213;;31.07.2008;140.1;;31.07.2008;395.18;;31.07.2008;263.7;;31.05.2010;117.4;;31.10.2008;24.61;;30.11.2010;1.649;;31.01.2011;0.441;;31.12.2009;123.42;;31.07.2008;71.98;;27.02.2010;1870;;29.08.2008;176.59;;31.07.2008;148.37
29.08.2008;242.34;;27.02.2009;124.86;;29.08.2008;1829.81;;31.07.2009;3167.84;;29.08.2008;57.3;;29.08.2008;17.494;;27.02.2009;599.31;;31.12.2009;0.06938;;29.08.2008;127.77;;29.08.2008;372.12;;29.08.2008;256.78;;30.06.2010;113.15;;28.11.2008;28.53;;30.12.2010;1.646;;28.02.2011;0.419;;29.01.2010;158.09;;29.08.2008;68.81;;31.03.2010;2376.81;;30.09.2008;116.99;;29.08.2008;115.69
30.09.2008;198;;31.03.2009;146.25;;30.09.2008;1520;;31.08.2009;3389.11;;30.09.2008;43.69;;30.09.2008;13.44;;31.03.2009;781.68;;29.01.2010;0.07538;;30.09.2008;90.45;;30.09.2008;243.78;;30.09.2008;223.6;;30.07.2010;127.32;;31.12.2008;30.11;;31.01.2011;1.488;;31.03.2011;0.40788;;27.02.2010;151.89;;30.09.2008;63.15;;30.04.2010;2405.01;;31.10.2008;99.37;;30.09.2008;109.9
31.10.2008;133.2;;30.04.2009;177.05;;31.10.2008;1028.83;;30.09.2009;3733.11;;31.10.2008;28.14;;31.10.2008;17.433;;30.04.2009;1094.97;;27.02.2010;0.07381;;31.10.2008;41.14;;31.10.2008;80.52;;31.10.2008;133.62;;31.08.2010;142.64;;30.01.2009;33.26;;28.02.2011;1.478;;29.04.2011;0.36156;;31.03.2010;157.29;;31.10.2008;59.64;;31.05.2010;2261.8;;28.11.2008;57.68;;31.10.2008;61.75
28.11.2008;117.9;;29.05.2009;206.57;;28.11.2008;879.65;;30.10.2009;3854.17;;28.11.2008;23.25;;28.11.2008;17.466;;29.05.2009;1125.79;;31.03.2010;0.08081;;28.11.2008;46.06;;28.11.2008;76.77;;28.11.2008;107.85;;30.09.2010;133.42;;27.02.2009;35.94;;31.03.2011;1.4314;;31.05.2011;0.33194;;30.04.2010;155.93;;28.11.2008;49.86;;30.06.2010;2270.64;;31.12.2008;48.49;;28.11.2008;56.47
31.12.2008;107.63;;30.06.2009;168.39;;31.12.2008;961.6;;30.11.2009;4021.11;;31.12.2008;22.79;;31.12.2008;16.417;;30.06.2009;1175;;30.04.2010;0.0785;;31.12.2008;55.26;;31.12.2008;75.9;;31.12.2008;111.45;;29.10.2010;152.59;;31.03.2009;41.61;;29.04.2011;1.388;;30.06.2011;0.37356;;31.05.2010;133.28;;31.12.2008;27.39;;30.07.2010;2348.01;;30.01.2009;65.49;;31.12.2008;62.67
30.01.2009;115.43;;31.07.2009;190.87;;30.01.2009;1180.91;;31.12.2009;4239.78;;30.01.2009;16.42;;30.01.2009;15.464;;31.07.2009;1310.73;;31.05.2010;0.07413;;30.01.2009;59.12;;30.01.2009;81.24;;30.01.2009;111.37;;30.11.2010;171.13;;30.04.2009;50.74;;31.05.2011;1.3554;;29.07.2011;0.37825;;30.06.2010;107.86;;30.01.2009;23.25;;31.08.2010;2400.01;;27.02.2009;81.86;;30.01.2009;72.82
27.02.2009;115.86;;31.08.2009;198.22;;27.02.2009;1151.31;;29.01.2010;4720.74;;27.02.2009;14.29;;27.02.2009;20.238;;31.08.2009;1585;;30.06.2010;0.076;;27.02.2009;66.69;;27.02.2009;117.05;;27.02.2009;123.07;;30.12.2010;219.27;;29.05.2009;59.54;;30.06.2011;1.3363;;31.08.2011;0.29236;;30.07.2010;108.07;;27.02.2009;26.55;;30.09.2010;2307.78;;31.03.2009;78.61;;27.02.2009;78.36
31.03.2009;126.59;;30.09.2009;226.72;;31.03.2009;1267.81;;27.02.2010;4594.77;;31.03.2009;20.82;;31.03.2009;21.198;;30.09.2009;1800;;30.07.2010;0.08138;;31.03.2009;79.9;;31.03.2009;104.24;;31.03.2009;143.59;;31.01.2011;226.23;;30.06.2009;62.67;;29.07.2011;1.3807;;30.09.2011;0.24012;;31.08.2010;108.16;;31.03.2009;38.79;;29.10.2010;2702.35;;30.04.2009;108.6;;31.03.2009;83.49
30.04.2009;148.07;;30.10.2009;222.2;;30.04.2009;1479.3;;31.03.2010;5431.41;;30.04.2009;27.84;;30.04.2009;23.592;;30.10.2009;1745.09;;31.08.2010;0.07938;;30.04.2009;100.61;;30.04.2009;121.83;;30.04.2009;164.94;;28.02.2011;233.84;;31.07.2009;80.12;;31.08.2011;1.2454;;31.10.2011;0.28231;;30.09.2010;116.96;;30.04.2009;33.94;;30.11.2010;3023.91;;29.05.2009;142.59;;30.04.2009;88.7
